target,date,season,holiday,weekday,workingday,weathersit,temp,atemp,TM1,TM2,TM3,TM4,TM5,TM6,TM7
0.66,2011-01-02,1,0,0,0,2,0.36,0.3333,0.71,0.81,0.76,0.71,0.76,0.77,0.94
0.66,2011-01-02,1,0,0,0,2,0.36,0.3485,0.66,0.71,0.81,0.76,0.71,0.76,0.77
0.76,2011-01-02,1,0,0,0,3,0.36,0.3485,0.66,0.66,0.71,0.81,0.76,0.71,0.76
0.81,2011-01-02,1,0,0,0,3,0.34,0.3333,0.76,0.66,0.66,0.71,0.81,0.76,0.71
0.71,2011-01-02,1,0,0,0,3,0.34,0.3333,0.81,0.76,0.66,0.66,0.71,0.81,0.76
0.57,2011-01-02,1,0,0,0,1,0.34,0.3333,0.71,0.81,0.76,0.66,0.66,0.71,0.81
0.46,2011-01-02,1,0,0,0,2,0.36,0.3333,0.57,0.71,0.81,0.76,0.66,0.66,0.71
0.42,2011-01-02,1,0,0,0,1,0.32,0.2879,0.46,0.57,0.71,0.81,0.76,0.66,0.66
0.39,2011-01-02,1,0,0,0,1,0.3,0.2727,0.42,0.46,0.57,0.71,0.81,0.76,0.66
0.44,2011-01-02,1,0,0,0,1,0.26,0.2273,0.39,0.42,0.46,0.57,0.71,0.81,0.76
0.44,2011-01-02,1,0,0,0,1,0.24,0.2121,0.44,0.39,0.42,0.46,0.57,0.71,0.81
0.47,2011-01-02,1,0,0,0,1,0.22,0.2273,0.44,0.44,0.39,0.42,0.46,0.57,0.71
0.44,2011-01-03,1,0,1,1,1,0.22,0.19699999999999998,0.47,0.44,0.44,0.39,0.42,0.46,0.57
0.44,2011-01-03,1,0,1,1,1,0.2,0.1667,0.44,0.47,0.44,0.44,0.39,0.42,0.46
0.47,2011-01-03,1,0,1,1,1,0.16,0.1364,0.44,0.44,0.47,0.44,0.44,0.39,0.42
0.47,2011-01-03,1,0,1,1,1,0.16,0.1364,0.47,0.44,0.44,0.47,0.44,0.44,0.39
0.5,2011-01-03,1,0,1,1,1,0.14,0.1061,0.47,0.47,0.44,0.44,0.47,0.44,0.44
0.5,2011-01-03,1,0,1,1,1,0.14,0.1364,0.5,0.47,0.47,0.44,0.44,0.47,0.44
0.5,2011-01-03,1,0,1,1,1,0.14,0.1212,0.5,0.5,0.47,0.47,0.44,0.44,0.47
0.43,2011-01-03,1,0,1,1,1,0.16,0.1364,0.5,0.5,0.5,0.47,0.47,0.44,0.44
0.43,2011-01-03,1,0,1,1,1,0.18,0.1667,0.43,0.5,0.5,0.5,0.47,0.47,0.44
0.4,2011-01-03,1,0,1,1,1,0.2,0.1818,0.43,0.43,0.5,0.5,0.5,0.47,0.47
0.35,2011-01-03,1,0,1,1,1,0.22,0.2121,0.4,0.43,0.43,0.5,0.5,0.5,0.47
0.35,2011-01-03,1,0,1,1,1,0.24,0.2121,0.35,0.4,0.43,0.43,0.5,0.5,0.5
0.3,2011-01-03,1,0,1,1,1,0.26,0.2424,0.35,0.35,0.4,0.43,0.43,0.5,0.5
0.3,2011-01-03,1,0,1,1,1,0.26,0.2424,0.3,0.35,0.35,0.4,0.43,0.43,0.5
0.3,2011-01-03,1,0,1,1,1,0.26,0.2424,0.3,0.3,0.35,0.35,0.4,0.43,0.43
0.3,2011-01-03,1,0,1,1,1,0.24,0.2273,0.3,0.3,0.3,0.35,0.35,0.4,0.43
0.32,2011-01-03,1,0,1,1,1,0.24,0.2576,0.3,0.3,0.3,0.3,0.35,0.35,0.4
0.47,2011-01-03,1,0,1,1,1,0.2,0.2576,0.32,0.3,0.3,0.3,0.3,0.35,0.35
0.47,2011-01-03,1,0,1,1,1,0.2,0.2273,0.47,0.32,0.3,0.3,0.3,0.3,0.35
0.64,2011-01-03,1,0,1,1,1,0.18,0.19699999999999998,0.47,0.47,0.32,0.3,0.3,0.3,0.3
0.69,2011-01-03,1,0,1,1,1,0.14,0.1515,0.64,0.47,0.47,0.32,0.3,0.3,0.3
0.55,2011-01-03,1,0,1,1,1,0.18,0.2121,0.69,0.64,0.47,0.47,0.32,0.3,0.3
0.55,2011-01-04,1,0,2,1,1,0.16,0.1818,0.55,0.69,0.64,0.47,0.47,0.32,0.3
0.59,2011-01-04,1,0,2,1,1,0.16,0.1818,0.55,0.55,0.69,0.64,0.47,0.47,0.32
0.63,2011-01-04,1,0,2,1,1,0.14,0.1515,0.59,0.55,0.55,0.69,0.64,0.47,0.47
0.63,2011-01-04,1,0,2,1,1,0.14,0.1818,0.63,0.59,0.55,0.55,0.69,0.64,0.47
0.68,2011-01-04,1,0,2,1,1,0.12,0.1515,0.63,0.63,0.59,0.55,0.55,0.69,0.64
0.74,2011-01-04,1,0,2,1,1,0.12,0.1515,0.68,0.63,0.63,0.59,0.55,0.55,0.69
0.74,2011-01-04,1,0,2,1,1,0.12,0.1515,0.74,0.68,0.63,0.63,0.59,0.55,0.55
0.69,2011-01-04,1,0,2,1,1,0.14,0.1515,0.74,0.74,0.68,0.63,0.63,0.59,0.55
0.64,2011-01-04,1,0,2,1,1,0.16,0.1515,0.69,0.74,0.74,0.68,0.63,0.63,0.59
0.69,2011-01-04,1,0,2,1,2,0.16,0.1364,0.64,0.69,0.74,0.74,0.68,0.63,0.63
0.51,2011-01-04,1,0,2,1,1,0.22,0.2121,0.69,0.64,0.69,0.74,0.74,0.68,0.63
0.51,2011-01-04,1,0,2,1,1,0.22,0.2273,0.51,0.69,0.64,0.69,0.74,0.74,0.68
0.56,2011-01-04,1,0,2,1,1,0.24,0.2273,0.51,0.51,0.69,0.64,0.69,0.74,0.74
0.52,2011-01-04,1,0,2,1,1,0.26,0.2576,0.56,0.51,0.51,0.69,0.64,0.69,0.74
0.52,2011-01-04,1,0,2,1,1,0.28,0.2727,0.52,0.56,0.51,0.51,0.69,0.64,0.69
0.49,2011-01-04,1,0,2,1,1,0.3,0.2879,0.52,0.52,0.56,0.51,0.51,0.69,0.64
0.48,2011-01-04,1,0,2,1,1,0.28,0.2727,0.49,0.52,0.52,0.56,0.51,0.51,0.69
0.48,2011-01-04,1,0,2,1,1,0.26,0.2576,0.48,0.49,0.52,0.52,0.56,0.51,0.51
0.48,2011-01-04,1,0,2,1,1,0.24,0.2576,0.48,0.48,0.49,0.52,0.52,0.56,0.51
0.48,2011-01-04,1,0,2,1,1,0.24,0.2576,0.48,0.48,0.48,0.49,0.52,0.52,0.56
0.64,2011-01-04,1,0,2,1,1,0.22,0.2727,0.48,0.48,0.48,0.48,0.49,0.52,0.52
0.64,2011-01-04,1,0,2,1,1,0.22,0.2576,0.64,0.48,0.48,0.48,0.48,0.49,0.52
0.69,2011-01-04,1,0,2,1,1,0.2,0.2273,0.64,0.64,0.48,0.48,0.48,0.48,0.49
0.64,2011-01-05,1,0,3,1,1,0.2,0.2576,0.69,0.64,0.64,0.48,0.48,0.48,0.48
0.74,2011-01-05,1,0,3,1,1,0.16,0.19699999999999998,0.64,0.69,0.64,0.64,0.48,0.48,0.48
0.74,2011-01-05,1,0,3,1,1,0.16,0.19699999999999998,0.74,0.64,0.69,0.64,0.64,0.48,0.48
0.48,2011-01-05,1,0,3,1,1,0.24,0.2273,0.74,0.74,0.64,0.69,0.64,0.64,0.48
0.47,2011-01-05,1,0,3,1,1,0.22,0.2273,0.48,0.74,0.74,0.64,0.69,0.64,0.64
0.47,2011-01-05,1,0,3,1,1,0.2,0.19699999999999998,0.47,0.48,0.74,0.74,0.64,0.69,0.64
0.43,2011-01-05,1,0,3,1,1,0.18,0.1818,0.47,0.47,0.48,0.74,0.74,0.64,0.69
0.4,2011-01-05,1,0,3,1,1,0.2,0.1818,0.43,0.47,0.47,0.48,0.74,0.74,0.64
0.37,2011-01-05,1,0,3,1,1,0.22,0.19699999999999998,0.4,0.43,0.47,0.47,0.48,0.74,0.74
0.37,2011-01-05,1,0,3,1,1,0.22,0.19699999999999998,0.37,0.4,0.43,0.47,0.47,0.48,0.74
0.33,2011-01-05,1,0,3,1,1,0.26,0.2273,0.37,0.37,0.4,0.43,0.47,0.47,0.48
0.33,2011-01-05,1,0,3,1,1,0.26,0.2273,0.33,0.37,0.37,0.4,0.43,0.47,0.47
0.3,2011-01-05,1,0,3,1,1,0.28,0.2576,0.33,0.33,0.37,0.37,0.4,0.43,0.47
0.28,2011-01-05,1,0,3,1,1,0.3,0.2879,0.3,0.33,0.33,0.37,0.37,0.4,0.43
0.28,2011-01-05,1,0,3,1,1,0.3,0.2879,0.28,0.3,0.33,0.33,0.37,0.37,0.4
0.28,2011-01-05,1,0,3,1,1,0.3,0.3182,0.28,0.28,0.3,0.33,0.33,0.37,0.37
0.38,2011-01-05,1,0,3,1,1,0.24,0.2273,0.28,0.28,0.28,0.3,0.33,0.33,0.37
0.38,2011-01-05,1,0,3,1,1,0.24,0.2424,0.38,0.28,0.28,0.28,0.3,0.33,0.33
0.38,2011-01-05,1,0,3,1,1,0.24,0.2576,0.38,0.38,0.28,0.28,0.28,0.3,0.33
0.47,2011-01-05,1,0,3,1,1,0.22,0.2273,0.38,0.38,0.38,0.28,0.28,0.28,0.3
0.51,2011-01-05,1,0,3,1,1,0.2,0.19699999999999998,0.47,0.38,0.38,0.38,0.28,0.28,0.28
0.55,2011-01-05,1,0,3,1,1,0.18,0.19699999999999998,0.51,0.47,0.38,0.38,0.38,0.28,0.28
0.47,2011-01-05,1,0,3,1,1,0.2,0.2576,0.55,0.51,0.47,0.38,0.38,0.38,0.28
0.55,2011-01-06,1,0,4,1,1,0.18,0.2424,0.47,0.55,0.51,0.47,0.38,0.38,0.38
0.64,2011-01-06,1,0,4,1,1,0.16,0.2273,0.55,0.47,0.55,0.51,0.47,0.38,0.38
0.64,2011-01-06,1,0,4,1,1,0.16,0.2273,0.64,0.55,0.47,0.55,0.51,0.47,0.38
0.64,2011-01-06,1,0,4,1,2,0.16,0.19699999999999998,0.64,0.64,0.55,0.47,0.55,0.51,0.47
0.69,2011-01-06,1,0,4,1,2,0.14,0.1818,0.64,0.64,0.64,0.55,0.47,0.55,0.51
0.63,2011-01-06,1,0,4,1,2,0.14,0.1667,0.69,0.64,0.64,0.64,0.55,0.47,0.55
0.59,2011-01-06,1,0,4,1,2,0.16,0.2273,0.63,0.69,0.64,0.64,0.64,0.55,0.47
0.59,2011-01-06,1,0,4,1,1,0.16,0.2273,0.59,0.63,0.69,0.64,0.64,0.64,0.55
0.51,2011-01-06,1,0,4,1,2,0.18,0.2424,0.59,0.59,0.63,0.69,0.64,0.64,0.64
0.47,2011-01-06,1,0,4,1,1,0.2,0.2576,0.51,0.59,0.59,0.63,0.69,0.64,0.64
0.44,2011-01-06,1,0,4,1,1,0.22,0.2576,0.47,0.51,0.59,0.59,0.63,0.69,0.64
0.35,2011-01-06,1,0,4,1,1,0.26,0.2879,0.44,0.47,0.51,0.59,0.59,0.63,0.69
0.35,2011-01-06,1,0,4,1,1,0.26,0.2727,0.35,0.44,0.47,0.51,0.59,0.59,0.63
0.36,2011-01-06,1,0,4,1,1,0.28,0.2727,0.35,0.35,0.44,0.47,0.51,0.59,0.59
0.36,2011-01-06,1,0,4,1,1,0.28,0.2727,0.36,0.35,0.35,0.44,0.47,0.51,0.59
0.38,2011-01-06,1,0,4,1,1,0.26,0.2576,0.36,0.36,0.35,0.35,0.44,0.47,0.51
0.51,2011-01-06,1,0,4,1,1,0.22,0.2273,0.38,0.36,0.36,0.35,0.35,0.44,0.47
0.51,2011-01-06,1,0,4,1,1,0.22,0.2273,0.51,0.38,0.36,0.36,0.35,0.35,0.44
0.55,2011-01-06,1,0,4,1,1,0.22,0.2576,0.51,0.51,0.38,0.36,0.36,0.35,0.35
0.51,2011-01-06,1,0,4,1,1,0.2,0.2121,0.55,0.51,0.51,0.38,0.36,0.36,0.35
0.55,2011-01-06,1,0,4,1,2,0.22,0.2121,0.51,0.55,0.51,0.51,0.38,0.36,0.36
0.51,2011-01-06,1,0,4,1,2,0.22,0.2121,0.55,0.51,0.55,0.51,0.51,0.38,0.36
0.59,2011-01-06,1,0,4,1,2,0.2,0.19699999999999998,0.51,0.55,0.51,0.55,0.51,0.51,0.38
0.64,2011-01-07,1,0,5,1,2,0.2,0.19699999999999998,0.59,0.51,0.55,0.51,0.55,0.51,0.51
0.69,2011-01-07,1,0,5,1,2,0.2,0.19699999999999998,0.64,0.59,0.51,0.55,0.51,0.55,0.51
0.69,2011-01-07,1,0,5,1,2,0.2,0.19699999999999998,0.69,0.64,0.59,0.51,0.55,0.51,0.55
0.69,2011-01-07,1,0,5,1,2,0.2,0.2121,0.69,0.69,0.64,0.59,0.51,0.55,0.51
0.55,2011-01-07,1,0,5,1,3,0.22,0.2727,0.69,0.69,0.69,0.64,0.59,0.51,0.55
0.69,2011-01-07,1,0,5,1,2,0.2,0.2576,0.55,0.69,0.69,0.69,0.64,0.59,0.51
0.69,2011-01-07,1,0,5,1,1,0.2,0.2121,0.69,0.55,0.69,0.69,0.69,0.64,0.59
0.51,2011-01-07,1,0,5,1,1,0.2,0.19699999999999998,0.69,0.69,0.55,0.69,0.69,0.69,0.64
0.47,2011-01-07,1,0,5,1,1,0.2,0.1818,0.51,0.69,0.69,0.55,0.69,0.69,0.69
0.37,2011-01-07,1,0,5,1,1,0.22,0.19699999999999998,0.47,0.51,0.69,0.69,0.55,0.69,0.69
0.4,2011-01-07,1,0,5,1,2,0.2,0.19699999999999998,0.37,0.47,0.51,0.69,0.69,0.55,0.69
0.37,2011-01-07,1,0,5,1,2,0.2,0.19699999999999998,0.4,0.37,0.47,0.51,0.69,0.69,0.55
0.37,2011-01-07,1,0,5,1,2,0.2,0.1818,0.37,0.4,0.37,0.47,0.51,0.69,0.69
0.4,2011-01-07,1,0,5,1,2,0.2,0.19699999999999998,0.37,0.37,0.4,0.37,0.47,0.51,0.69
0.37,2011-01-07,1,0,5,1,2,0.2,0.2121,0.4,0.37,0.37,0.4,0.37,0.47,0.51
0.37,2011-01-07,1,0,5,1,2,0.2,0.2121,0.37,0.4,0.37,0.37,0.4,0.37,0.47
0.37,2011-01-07,1,0,5,1,2,0.2,0.2576,0.37,0.37,0.4,0.37,0.37,0.4,0.37
0.4,2011-01-07,1,0,5,1,1,0.2,0.2273,0.37,0.37,0.37,0.4,0.37,0.37,0.4
0.55,2011-01-07,1,0,5,1,1,0.16,0.19699999999999998,0.4,0.37,0.37,0.37,0.4,0.37,0.37
0.47,2011-01-07,1,0,5,1,1,0.18,0.2121,0.55,0.4,0.37,0.37,0.37,0.4,0.37
0.47,2011-01-07,1,0,5,1,1,0.18,0.19699999999999998,0.47,0.55,0.4,0.37,0.37,0.37,0.4
0.43,2011-01-07,1,0,5,1,2,0.18,0.19699999999999998,0.47,0.47,0.55,0.4,0.37,0.37,0.37
0.51,2011-01-07,1,0,5,1,2,0.18,0.19699999999999998,0.43,0.47,0.47,0.55,0.4,0.37,0.37
0.51,2011-01-08,1,0,6,0,2,0.18,0.19699999999999998,0.51,0.43,0.47,0.47,0.55,0.4,0.37
0.55,2011-01-08,1,0,6,0,2,0.18,0.2121,0.51,0.51,0.43,0.47,0.47,0.55,0.4
0.55,2011-01-08,1,0,6,0,2,0.18,0.2424,0.55,0.51,0.51,0.43,0.47,0.47,0.55
0.55,2011-01-08,1,0,6,0,3,0.18,0.19699999999999998,0.55,0.55,0.51,0.51,0.43,0.47,0.47
0.55,2011-01-08,1,0,6,0,3,0.18,0.19699999999999998,0.55,0.55,0.55,0.51,0.51,0.43,0.47
0.74,2011-01-08,1,0,6,0,2,0.16,0.1667,0.55,0.55,0.55,0.55,0.51,0.51,0.43
0.74,2011-01-08,1,0,6,0,2,0.16,0.1667,0.74,0.55,0.55,0.55,0.55,0.51,0.51
0.74,2011-01-08,1,0,6,0,2,0.16,0.1818,0.74,0.74,0.55,0.55,0.55,0.55,0.51
0.93,2011-01-08,1,0,6,0,3,0.16,0.1818,0.74,0.74,0.74,0.55,0.55,0.55,0.55
0.93,2011-01-08,1,0,6,0,3,0.16,0.1818,0.93,0.74,0.74,0.74,0.55,0.55,0.55
0.8,2011-01-08,1,0,6,0,2,0.18,0.19699999999999998,0.93,0.93,0.74,0.74,0.74,0.55,0.55
0.69,2011-01-08,1,0,6,0,2,0.2,0.1818,0.8,0.93,0.93,0.74,0.74,0.74,0.55
0.59,2011-01-08,1,0,6,0,2,0.2,0.1818,0.69,0.8,0.93,0.93,0.74,0.74,0.74
0.44,2011-01-08,1,0,6,0,1,0.2,0.1818,0.59,0.69,0.8,0.93,0.93,0.74,0.74
0.32,2011-01-08,1,0,6,0,1,0.2,0.1667,0.44,0.59,0.69,0.8,0.93,0.93,0.74
0.32,2011-01-08,1,0,6,0,1,0.2,0.1667,0.32,0.44,0.59,0.69,0.8,0.93,0.93
0.29,2011-01-08,1,0,6,0,1,0.18,0.1364,0.32,0.32,0.44,0.59,0.69,0.8,0.93
0.37,2011-01-08,1,0,6,0,1,0.16,0.1212,0.29,0.32,0.32,0.44,0.59,0.69,0.8
0.39,2011-01-08,1,0,6,0,1,0.14,0.1212,0.37,0.29,0.32,0.32,0.44,0.59,0.69
0.36,2011-01-08,1,0,6,0,1,0.14,0.1212,0.39,0.37,0.29,0.32,0.32,0.44,0.59
0.36,2011-01-08,1,0,6,0,1,0.12,0.1212,0.36,0.39,0.37,0.29,0.32,0.32,0.44
0.39,2011-01-08,1,0,6,0,1,0.12,0.1061,0.36,0.36,0.39,0.37,0.29,0.32,0.32
0.36,2011-01-08,1,0,6,0,1,0.12,0.1061,0.39,0.36,0.36,0.39,0.37,0.29,0.32
0.39,2011-01-08,1,0,6,0,1,0.1,0.0606,0.36,0.39,0.36,0.36,0.39,0.37,0.29
0.42,2011-01-09,1,0,0,0,1,0.1,0.0758,0.39,0.36,0.39,0.36,0.36,0.39,0.37
0.42,2011-01-09,1,0,0,0,1,0.1,0.0606,0.42,0.39,0.36,0.39,0.36,0.36,0.39
0.46,2011-01-09,1,0,0,0,1,0.1,0.0606,0.42,0.42,0.39,0.36,0.39,0.36,0.36
0.46,2011-01-09,1,0,0,0,1,0.1,0.0758,0.46,0.42,0.42,0.39,0.36,0.39,0.36
0.53,2011-01-09,1,0,0,0,1,0.08,0.0909,0.46,0.46,0.42,0.42,0.39,0.36,0.39
0.53,2011-01-09,1,0,0,0,1,0.08,0.0909,0.53,0.46,0.46,0.42,0.42,0.39,0.36
0.49,2011-01-09,1,0,0,0,1,0.1,0.0909,0.53,0.53,0.46,0.46,0.42,0.42,0.39
0.53,2011-01-09,1,0,0,0,1,0.08,0.0909,0.49,0.53,0.53,0.46,0.46,0.42,0.42
0.49,2011-01-09,1,0,0,0,1,0.1,0.0909,0.53,0.49,0.53,0.53,0.46,0.46,0.42
0.46,2011-01-09,1,0,0,0,1,0.12,0.0758,0.49,0.53,0.49,0.53,0.53,0.46,0.46
0.43,2011-01-09,1,0,0,0,1,0.14,0.1061,0.46,0.49,0.53,0.49,0.53,0.53,0.46
0.4,2011-01-09,1,0,0,0,1,0.16,0.1212,0.43,0.46,0.49,0.53,0.49,0.53,0.53
0.37,2011-01-09,1,0,0,0,1,0.18,0.1364,0.4,0.43,0.46,0.49,0.53,0.49,0.53
0.34,2011-01-09,1,0,0,0,1,0.2,0.1667,0.37,0.4,0.43,0.46,0.49,0.53,0.49
0.32,2011-01-09,1,0,0,0,1,0.22,0.1818,0.34,0.37,0.4,0.43,0.46,0.49,0.53
0.35,2011-01-09,1,0,0,0,1,0.22,0.19699999999999998,0.32,0.34,0.37,0.4,0.43,0.46,0.49
0.34,2011-01-09,1,0,0,0,1,0.2,0.1667,0.35,0.32,0.34,0.37,0.4,0.43,0.46
0.37,2011-01-09,1,0,0,0,1,0.18,0.1515,0.34,0.35,0.32,0.34,0.37,0.4,0.43
0.4,2011-01-09,1,0,0,0,1,0.16,0.1364,0.37,0.34,0.35,0.32,0.34,0.37,0.4
0.43,2011-01-09,1,0,0,0,1,0.16,0.1364,0.4,0.37,0.34,0.35,0.32,0.34,0.37
0.46,2011-01-09,1,0,0,0,1,0.14,0.1212,0.43,0.4,0.37,0.34,0.35,0.32,0.34
0.46,2011-01-09,1,0,0,0,1,0.14,0.1061,0.46,0.43,0.4,0.37,0.34,0.35,0.32
0.46,2011-01-09,1,0,0,0,1,0.14,0.1212,0.46,0.46,0.43,0.4,0.37,0.34,0.35
0.5,2011-01-09,1,0,0,0,1,0.12,0.1364,0.46,0.46,0.46,0.43,0.4,0.37,0.34
0.5,2011-01-10,1,0,1,1,1,0.12,0.1212,0.5,0.46,0.46,0.46,0.43,0.4,0.37
0.5,2011-01-10,1,0,1,1,1,0.12,0.1212,0.5,0.5,0.46,0.46,0.46,0.43,0.4
0.5,2011-01-10,1,0,1,1,1,0.12,0.1212,0.5,0.5,0.5,0.46,0.46,0.46,0.43
0.5,2011-01-10,1,0,1,1,1,0.12,0.1212,0.5,0.5,0.5,0.5,0.46,0.46,0.46
0.54,2011-01-10,1,0,1,1,1,0.1,0.1212,0.5,0.5,0.5,0.5,0.5,0.46,0.46
0.54,2011-01-10,1,0,1,1,1,0.1,0.1061,0.54,0.5,0.5,0.5,0.5,0.5,0.46
0.5,2011-01-10,1,0,1,1,1,0.12,0.1212,0.54,0.54,0.5,0.5,0.5,0.5,0.5
0.5,2011-01-10,1,0,1,1,1,0.12,0.1212,0.5,0.54,0.54,0.5,0.5,0.5,0.5
0.5,2011-01-10,1,0,1,1,2,0.12,0.1212,0.5,0.5,0.54,0.54,0.5,0.5,0.5
0.5,2011-01-10,1,0,1,1,2,0.14,0.1212,0.5,0.5,0.5,0.54,0.54,0.5,0.5
0.5,2011-01-10,1,0,1,1,2,0.14,0.1212,0.5,0.5,0.5,0.5,0.54,0.54,0.5
0.47,2011-01-10,1,0,1,1,2,0.16,0.1364,0.5,0.5,0.5,0.5,0.5,0.54,0.54
0.4,2011-01-10,1,0,1,1,2,0.2,0.1818,0.47,0.5,0.5,0.5,0.5,0.5,0.54
0.4,2011-01-10,1,0,1,1,2,0.2,0.1818,0.4,0.47,0.5,0.5,0.5,0.5,0.5
0.4,2011-01-10,1,0,1,1,2,0.2,0.19699999999999998,0.4,0.4,0.47,0.5,0.5,0.5,0.5
0.4,2011-01-10,1,0,1,1,2,0.2,0.19699999999999998,0.4,0.4,0.4,0.47,0.5,0.5,0.5
0.4,2011-01-10,1,0,1,1,1,0.2,0.2121,0.4,0.4,0.4,0.4,0.47,0.5,0.5
0.4,2011-01-10,1,0,1,1,1,0.2,0.2273,0.4,0.4,0.4,0.4,0.4,0.47,0.5
0.4,2011-01-10,1,0,1,1,1,0.2,0.19699999999999998,0.4,0.4,0.4,0.4,0.4,0.4,0.47
0.47,2011-01-10,1,0,1,1,1,0.16,0.1667,0.4,0.4,0.4,0.4,0.4,0.4,0.4
0.5,2011-01-10,1,0,1,1,1,0.16,0.1667,0.47,0.4,0.4,0.4,0.4,0.4,0.4
0.59,2011-01-10,1,0,1,1,1,0.14,0.1364,0.5,0.47,0.4,0.4,0.4,0.4,0.4
0.59,2011-01-10,1,0,1,1,1,0.14,0.1515,0.59,0.5,0.47,0.4,0.4,0.4,0.4
0.59,2011-01-10,1,0,1,1,1,0.14,0.1515,0.59,0.59,0.5,0.47,0.4,0.4,0.4
0.59,2011-01-11,1,0,2,1,1,0.14,0.1667,0.59,0.59,0.59,0.5,0.47,0.4,0.4
0.59,2011-01-11,1,0,2,1,1,0.14,0.1515,0.59,0.59,0.59,0.59,0.5,0.47,0.4
0.55,2011-01-11,1,0,2,1,2,0.16,0.1515,0.59,0.59,0.59,0.59,0.59,0.5,0.47
0.55,2011-01-11,1,0,2,1,2,0.16,0.1818,0.55,0.59,0.59,0.59,0.59,0.59,0.5
0.55,2011-01-11,1,0,2,1,2,0.16,0.1818,0.55,0.55,0.59,0.59,0.59,0.59,0.59
0.55,2011-01-11,1,0,2,1,2,0.16,0.2273,0.55,0.55,0.55,0.59,0.59,0.59,0.59
0.51,2011-01-11,1,0,2,1,2,0.18,0.2121,0.55,0.55,0.55,0.55,0.59,0.59,0.59
0.51,2011-01-11,1,0,2,1,2,0.18,0.19699999999999998,0.51,0.55,0.55,0.55,0.55,0.59,0.59
0.51,2011-01-11,1,0,2,1,2,0.2,0.2121,0.51,0.51,0.55,0.55,0.55,0.55,0.59
0.47,2011-01-11,1,0,2,1,2,0.2,0.2121,0.51,0.51,0.51,0.55,0.55,0.55,0.55
0.51,2011-01-11,1,0,2,1,2,0.2,0.2273,0.47,0.51,0.51,0.51,0.55,0.55,0.55
