target,Tm1,Tm2,Tm3,Tm4,Tm5,Tm6,Tm7,Tm8,Tm9,Tm10,Tm11,Tm12,Tm13,Tm14,Tm15,Tm16,Tm17,Tm18,Tm19,Tm20,trend,skew,mean,stddev,hurst,serialcorr,date
26.2,26.2,25.7,26.7,26.7,27.3,27.8,29.0,28.4,26.7,26.2,25.7,26.2,26.2,26.2,26.2,25.7,25.2,26.7,26.7,26.7,1.22480955044271,1.07863260655414,26.61,0.9273050937216429,0.013321137960049998,0.00212240146606713,1972-01-17
25.7,26.2,26.2,25.7,26.7,26.7,27.3,27.8,29.0,28.4,26.7,26.2,25.7,26.2,26.2,26.2,26.2,25.7,25.2,26.7,26.7,1.2123164318188002,1.14216476412149,26.585,0.931481558989142,-0.0009451486162958439,0.0020213964096595896,1972-01-18
25.7,25.7,26.2,26.2,25.7,26.7,26.7,27.3,27.8,29.0,28.4,26.7,26.2,25.7,26.2,26.2,26.2,26.2,25.7,25.2,26.7,1.2385073229280301,1.18957498919821,26.535,0.9516052919036059,-0.00121880552039489,0.0023707189246035,1972-01-19
25.7,25.7,25.7,26.2,26.2,25.7,26.7,26.7,27.3,27.8,29.0,28.4,26.7,26.2,25.7,26.2,26.2,26.2,26.2,25.7,25.2,1.40878770923295,1.25222743680794,26.485,0.968599096905586,0.025590129419645002,0.00148349251108104,1972-01-20
25.7,25.7,25.7,25.7,26.2,26.2,25.7,26.7,26.7,27.3,27.8,29.0,28.4,26.7,26.2,25.7,26.2,26.2,26.2,26.2,25.7,1.3873002160090402,1.3960001263721,26.51,0.939708801479984,0.0190929772723409,0.0011231181788808901,1972-01-21
25.7,25.7,25.7,25.7,25.7,26.2,26.2,25.7,26.7,26.7,27.3,27.8,29.0,28.4,26.7,26.2,25.7,26.2,26.2,26.2,26.2,1.41138048677897,1.3960001263721,26.51,0.939708801479984,0.0102887402705213,0.000763579622785948,1972-01-22
25.7,25.7,25.7,25.7,25.7,25.7,26.2,26.2,25.7,26.7,26.7,27.3,27.8,29.0,28.4,26.7,26.2,25.7,26.2,26.2,26.2,1.43422372432868,1.3798449981393,26.485,0.954918017974649,0.00894065041145493,0.000655125140745616,1972-01-23
25.7,25.7,25.7,25.7,25.7,25.7,25.7,26.2,26.2,25.7,26.7,26.7,27.3,27.8,29.0,28.4,26.7,26.2,25.7,26.2,26.2,1.45568964392084,1.3717920104419699,26.46,0.969210204781518,0.00773650414619998,0.000570196107799958,1972-01-24
25.2,25.7,25.7,25.7,25.7,25.7,25.7,25.7,26.2,26.2,25.7,26.7,26.7,27.3,27.8,29.0,28.4,26.7,26.2,25.7,26.2,1.47583834563068,1.37071401342169,26.435,0.98262537702776,0.0115532939246024,0.0005026955890516941,1972-01-25
25.2,25.2,25.7,25.7,25.7,25.7,25.7,25.7,25.7,26.2,26.2,25.7,26.7,26.7,27.3,27.8,29.0,28.4,26.7,26.2,25.7,1.5564677719175601,1.28149789910474,26.385,1.01994581899443,0.0409403938515685,0.000659070882383817,1972-01-26
25.2,25.2,25.2,25.7,25.7,25.7,25.7,25.7,25.7,25.7,26.2,26.2,25.7,26.7,26.7,27.3,27.8,29.0,28.4,26.7,26.2,1.59846956188248,1.2066941313959199,26.36,1.04347597253754,0.04873192185286701,0.000407918700573329,1972-01-27
24.6,25.2,25.2,25.2,25.7,25.7,25.7,25.7,25.7,25.7,25.7,26.2,26.2,25.7,26.7,26.7,27.3,27.8,29.0,28.4,26.7,1.6843570618373502,1.1791347927673201,26.31,1.0750275394269302,0.053137073428153006,0.000302384318364823,1972-01-28
25.2,24.6,25.2,25.2,25.2,25.7,25.7,25.7,25.7,25.7,25.7,25.7,26.2,26.2,25.7,26.7,26.7,27.3,27.8,29.0,28.4,2.47115771914756,1.09881396888916,26.205,1.13577008422063,0.0306729767999378,0.000711303105907835,1972-01-29
25.7,25.2,24.6,25.2,25.2,25.2,25.7,25.7,25.7,25.7,25.7,25.7,25.7,26.2,26.2,25.7,26.7,26.7,27.3,27.8,29.0,2.42003677645471,1.38011842709517,26.045,1.03082746527142,-0.00567997924258655,0.00344080076469144,1972-01-30
26.7,25.7,25.2,24.6,25.2,25.2,25.2,25.7,25.7,25.7,25.7,25.7,25.7,25.7,26.2,26.2,25.7,26.7,26.7,27.3,27.8,1.91045034612742,0.940029847363114,25.88,0.76199184965941,-0.00275924583323223,0.00233905732903983,1972-01-31
26.2,26.7,25.7,25.2,24.6,25.2,25.2,25.2,25.7,25.7,25.7,25.7,25.7,25.7,25.7,26.2,26.2,25.7,26.7,26.7,27.3,1.55677738181986,0.496450874334537,25.825,0.6471597866629879,-0.00936735922022327,0.012448968618329,1972-02-01
25.7,26.2,26.7,25.7,25.2,24.6,25.2,25.2,25.2,25.7,25.7,25.7,25.7,25.7,25.7,25.7,26.2,26.2,25.7,26.7,26.7,1.18740561236893,0.0964579396986059,25.77,0.555451452234553,0.0141633055500003,0.0105480214036808,1972-02-02
26.7,25.7,26.2,26.7,25.7,25.2,24.6,25.2,25.2,25.2,25.7,25.7,25.7,25.7,25.7,25.7,25.7,26.2,26.2,25.7,26.7,1.05828767401947,0.100126353567991,25.72,0.5105208898246649,0.0221111519751191,0.0329449370385925,1972-02-03
26.7,26.7,25.7,26.2,26.7,25.7,25.2,24.6,25.2,25.2,25.2,25.7,25.7,25.7,25.7,25.7,25.7,25.7,26.2,26.2,25.7,1.17303249335535,0.100126353567991,25.72,0.5105208898246649,0.020375475623047,0.0329449370385924,1972-02-04
26.7,26.7,26.7,25.7,26.2,26.7,25.7,25.2,24.6,25.2,25.2,25.2,25.7,25.7,25.7,25.7,25.7,25.7,25.7,26.2,26.2,1.15142678219871,0.0964579396986059,25.77,0.555451452234553,0.0131959593864601,0.0105480214036808,1972-02-05
26.7,26.7,26.7,26.7,25.7,26.2,26.7,25.7,25.2,24.6,25.2,25.2,25.2,25.7,25.7,25.7,25.7,25.7,25.7,25.7,26.2,1.21521573139528,0.144993395172989,25.795,0.586223417083318,0.014440409277398002,0.00550435321037668,1972-02-06
25.7,26.7,26.7,26.7,26.7,25.7,26.2,26.7,25.7,25.2,24.6,25.2,25.2,25.2,25.7,25.7,25.7,25.7,25.7,25.7,25.7,1.32331650644674,0.157752661951908,25.82,0.614388870513233,0.0236342364489889,0.0021665781495448,1972-02-07
25.7,25.7,26.7,26.7,26.7,26.7,25.7,26.2,26.7,25.7,25.2,24.6,25.2,25.2,25.2,25.7,25.7,25.7,25.7,25.7,25.7,1.32331650644674,0.157752661951908,25.82,0.614388870513233,0.0379296213097248,0.00277549507563613,1972-02-08
25.2,25.7,25.7,26.7,26.7,26.7,26.7,25.7,26.2,26.7,25.7,25.2,24.6,25.2,25.2,25.2,25.7,25.7,25.7,25.7,25.7,1.16599530404858,0.157752661951908,25.82,0.614388870513233,0.0292519674921822,0.00277549507563613,1972-02-09
25.2,25.2,25.7,25.7,26.7,26.7,26.7,26.7,25.7,26.2,26.7,25.7,25.2,24.6,25.2,25.2,25.2,25.7,25.7,25.7,25.7,1.19470238232674,0.21774090704223897,25.795,0.629515268825316,0.0277613859005196,0.00387259854444988,1972-02-10
25.2,25.2,25.2,25.7,25.7,26.7,26.7,26.7,26.7,25.7,26.2,26.7,25.7,25.2,24.6,25.2,25.2,25.2,25.7,25.7,25.7,1.19136177837745,0.281200616511872,25.77,0.643264699547714,0.0182338941454897,0.00302884499365907,1972-02-11
24.6,25.2,25.2,25.2,25.7,25.7,26.7,26.7,26.7,26.7,25.7,26.2,26.7,25.7,25.2,24.6,25.2,25.2,25.2,25.7,25.7,1.21443669609776,0.34747989841098903,25.745,0.6557237865218299,0.0089306686533454,0.00244595795591795,1972-02-12
24.6,24.6,25.2,25.2,25.2,25.7,25.7,26.7,26.7,26.7,26.7,25.7,26.2,26.7,25.7,25.2,24.6,25.2,25.2,25.2,25.7,1.30393663149035,0.289433377010275,25.69,0.704048443309347,0.0104393220390856,0.0034495157036244,1972-02-13
24.6,24.6,24.6,25.2,25.2,25.2,25.7,25.7,26.7,26.7,26.7,26.7,25.7,26.2,26.7,25.7,25.2,24.6,25.2,25.2,25.2,1.3655449163833002,0.302823586937695,25.635,0.7450008830796601,0.0108539452602422,0.0017617580717810301,1972-02-14
24.6,24.6,24.6,24.6,25.2,25.2,25.2,25.7,25.7,26.7,26.7,26.7,26.7,25.7,26.2,26.7,25.7,25.2,24.6,25.2,25.2,1.4203837927043101,0.269200535481612,25.605,0.774919350642374,0.00385487037309752,0.0011685458498512699,1972-02-15
24.6,24.6,24.6,24.6,24.6,25.2,25.2,25.2,25.7,25.7,26.7,26.7,26.7,26.7,25.7,26.2,26.7,25.7,25.2,24.6,25.2,1.47102059871052,0.258358056098272,25.575,0.802545293032375,0.00456141263061749,0.0008242834657878889,1972-02-16
24.6,24.6,24.6,24.6,24.6,24.6,25.2,25.2,25.2,25.7,25.7,26.7,26.7,26.7,26.7,25.7,26.2,26.7,25.7,25.2,24.6,1.5715946293043102,0.263601057613288,25.545,0.8281081800675172,0.0262505811732829,0.0007919444458821531,1972-02-17
23.6,24.6,24.6,24.6,24.6,24.6,24.6,25.2,25.2,25.2,25.7,25.7,26.7,26.7,26.7,26.7,25.7,26.2,26.7,25.7,25.2,1.6389536453668898,0.263601057613288,25.545,0.8281081800675172,0.0285055736759265,0.000384927866320828,1972-02-18
24.1,23.6,24.6,24.6,24.6,24.6,24.6,24.6,25.2,25.2,25.2,25.7,25.7,26.7,26.7,26.7,26.7,25.7,26.2,26.7,25.7,1.9147408362498601,-0.0370627269008338,25.465,0.933738946950715,0.0398704594264915,0.0009483639127021439,1972-02-19
24.1,24.1,23.6,24.6,24.6,24.6,24.6,24.6,24.6,25.2,25.2,25.2,25.7,25.7,26.7,26.7,26.7,26.7,25.7,26.2,26.7,2.13658434940191,0.0731122202370217,25.385,0.979943607400043,0.00627684624225951,0.000425872568760255,1972-02-20
24.6,24.1,24.1,23.6,24.6,24.6,24.6,24.6,24.6,24.6,25.2,25.2,25.2,25.7,25.7,26.7,26.7,26.7,26.7,25.7,26.2,2.03162006399533,0.23023331680538398,25.255,0.9687077664817719,0.0163823588660877,0.000235640485818589,1972-02-21
24.1,24.6,24.1,24.1,23.6,24.6,24.6,24.6,24.6,24.6,24.6,25.2,25.2,25.2,25.7,25.7,26.7,26.7,26.7,26.7,25.7,2.03677514319186,0.43105693736119605,25.175,0.952489812074261,0.0283452993879344,0.000113229976695273,1972-02-22
24.6,24.1,24.6,24.1,24.1,23.6,24.6,24.6,24.6,24.6,24.6,24.6,25.2,25.2,25.2,25.7,25.7,26.7,26.7,26.7,26.7,2.37025402877537,0.5766741411944339,25.095,0.973044597885257,0.0261269865813664,0.000304738506470281,1972-02-23
24.6,24.6,24.1,24.6,24.1,24.1,23.6,24.6,24.6,24.6,24.6,24.6,24.6,25.2,25.2,25.2,25.7,25.7,26.7,26.7,26.7,2.15135177435691,0.771863101321222,24.99,0.9014024161213859,0.0176071854876186,0.00045885126723621507,1972-02-24
25.7,24.6,24.6,24.1,24.6,24.1,24.1,23.6,24.6,24.6,24.6,24.6,24.6,24.6,25.2,25.2,25.2,25.7,25.7,26.7,26.7,1.81911979829289,0.9526925044315929,24.885,0.809336960597669,0.0124391839826778,0.00129507639224069,1972-02-25
28.4,25.7,24.6,24.6,24.1,24.6,24.1,24.1,23.6,24.6,24.6,24.6,24.6,24.6,24.6,25.2,25.2,25.2,25.7,25.7,26.7,1.6113963222785601,0.7888214128191351,24.835,0.716919580016145,-0.010104754533354,0.0163631475635668,1972-02-26
31.4,28.4,25.7,24.6,24.6,24.1,24.6,24.1,24.1,23.6,24.6,24.6,24.6,24.6,24.6,24.6,25.2,25.2,25.2,25.7,25.7,2.10133209728513,2.1518233381868703,24.92,0.9960976489861759,-0.0282335007897473,0.0998129306044375,1972-02-27
30.2,31.4,28.4,25.7,24.6,24.6,24.1,24.6,24.1,24.1,23.6,24.6,24.6,24.6,24.6,24.6,24.6,25.2,25.2,25.2,25.7,2.2132900550025,2.59573535677479,25.205,1.75633440048181,-0.040922511970009005,0.0256576693877805,1972-02-28
29.0,30.2,31.4,28.4,25.7,24.6,24.6,24.1,24.6,24.1,24.1,23.6,24.6,24.6,24.6,24.6,24.6,24.6,25.2,25.2,25.2,2.03829265247343,1.9715216916149199,25.43,2.08126985528699,0.0307492277457064,0.0010610311474107401,1972-02-29
28.4,29.0,30.2,31.4,28.4,25.7,24.6,24.6,24.1,24.6,24.1,24.1,23.6,24.6,24.6,24.6,24.6,24.6,24.6,25.2,25.2,2.0582175294405203,1.5673616315955001,25.62,2.2274838294646098,0.0630929738668038,0.000254592469983383,1972-03-01
27.8,28.4,29.0,30.2,31.4,28.4,25.7,24.6,24.6,24.1,24.6,24.1,24.1,23.6,24.6,24.6,24.6,24.6,24.6,24.6,25.2,2.03273978907102,1.28778433966139,25.78,2.3091579691125,0.0577909899036556,0.00014274451186491202,1972-03-02
26.7,27.8,28.4,29.0,30.2,31.4,28.4,25.7,24.6,24.6,24.1,24.6,24.1,24.1,23.6,24.6,24.6,24.6,24.6,24.6,24.6,2.06662659192287,1.09005959643791,25.91,2.3476528031654302,0.0561035111692264,0.00011065485524230901,1972-03-03
26.7,26.7,27.8,28.4,29.0,30.2,31.4,28.4,25.7,24.6,24.6,24.1,24.6,24.1,24.1,23.6,24.6,24.6,24.6,24.6,24.6,2.02641398974648,0.983905603480241,26.015,2.33289406892857,0.0549919709451093,9.900938740969871e-05,1972-03-04
27.8,26.7,26.7,27.8,28.4,29.0,30.2,31.4,28.4,25.7,24.6,24.6,24.1,24.6,24.1,24.1,23.6,24.6,24.6,24.6,24.6,1.94407354805859,0.8834149044482759,26.12,2.313029455748,0.03484416879454,0.000104817989038275,1972-03-05
26.7,27.8,26.7,26.7,27.8,28.4,29.0,30.2,31.4,28.4,25.7,24.6,24.6,24.1,24.6,24.1,24.1,23.6,24.6,24.6,24.6,1.94407354805859,0.706160750806125,26.28,2.313029455748,0.00144390889158793,0.000145952133631777,1972-03-06
26.2,26.7,27.8,26.7,26.7,27.8,28.4,29.0,30.2,31.4,28.4,25.7,24.6,24.6,24.1,24.6,24.1,24.1,23.6,24.6,24.6,1.88212869621479,0.617212978845212,26.385,2.28018351062042,0.0136777820644656,0.000149007000384671,1972-03-07
25.2,26.2,26.7,27.8,26.7,26.7,27.8,28.4,29.0,30.2,31.4,28.4,25.7,24.6,24.6,24.1,24.6,24.1,24.1,23.6,24.6,1.79622965805318,0.566624527836363,26.465,2.2420092022910802,0.0131083326351228,0.000171705714241743,1972-03-08
25.2,25.2,26.2,26.7,27.8,26.7,26.7,27.8,28.4,29.0,30.2,31.4,28.4,25.7,24.6,24.6,24.1,24.6,24.1,24.1,23.6,1.8086308918508702,0.564358788982719,26.495,2.21964316714955,0.0351204347944463,0.00033399048937177205,1972-03-09
25.2,25.2,25.2,26.2,26.7,27.8,26.7,26.7,27.8,28.4,29.0,30.2,31.4,28.4,25.7,24.6,24.6,24.1,24.6,24.1,24.1,1.7064695013605202,0.639242026692907,26.575,2.13710945955168,0.0146396724817745,0.000347825492353016,1972-03-10
24.6,25.2,25.2,25.2,26.2,26.7,27.8,26.7,26.7,27.8,28.4,29.0,30.2,31.4,28.4,25.7,24.6,24.6,24.1,24.6,24.1,1.6636982324879501,0.683544575645904,26.63,2.08354455069644,0.00492904990914801,0.000433947794072576,1972-03-11
25.2,24.6,25.2,25.2,25.2,26.2,26.7,27.8,26.7,26.7,27.8,28.4,29.0,30.2,31.4,28.4,25.7,24.6,24.6,24.1,24.6,1.64668865372231,0.724364749204058,26.655,2.0543855529086996,0.0030251034215845896,0.000486299477761354,1972-03-12
25.2,25.2,24.6,25.2,25.2,25.2,26.2,26.7,27.8,26.7,26.7,27.8,28.4,29.0,30.2,31.4,28.4,25.7,24.6,24.6,24.1,1.6211810462512901,0.7448662962177159,26.685,2.02699544309201,0.00621065632827843,0.00056973724580045,1972-03-13
24.1,25.2,25.2,24.6,25.2,25.2,25.2,26.2,26.7,27.8,26.7,26.7,27.8,28.4,29.0,30.2,31.4,28.4,25.7,24.6,24.6,1.57029455270205,0.828086104063899,26.74,1.96720480297352,0.0202357854918332,0.0005631551933749089,1972-03-14
24.1,24.1,25.2,25.2,24.6,25.2,25.2,25.2,26.2,26.7,27.8,26.7,26.7,27.8,28.4,29.0,30.2,31.4,28.4,25.7,24.6,1.59548002120577,0.769833680393751,26.715,1.9987561921829,0.0754693706192657,0.0009107828145501481,1972-03-15
24.6,24.1,24.1,25.2,25.2,24.6,25.2,25.2,25.2,26.2,26.7,27.8,26.7,26.7,27.8,28.4,29.0,30.2,31.4,28.4,25.7,1.6237387916156598,0.7189013213632821,26.69,2.0294930660791,0.0905449085364241,0.000483814669521077,1972-03-16
24.1,24.6,24.1,24.1,25.2,25.2,24.6,25.2,25.2,25.2,26.2,26.7,27.8,26.7,26.7,27.8,28.4,29.0,30.2,31.4,28.4,1.9927305611927,0.707571745894354,26.635,2.07219055209952,0.0519292514095591,0.000188149080606159,1972-03-17
24.1,24.1,24.6,24.1,24.1,25.2,25.2,24.6,25.2,25.2,25.2,26.2,26.7,27.8,26.7,26.7,27.8,28.4,29.0,30.2,31.4,3.04726922868532,0.8669253423175329,26.42,2.1022794646213,-0.00161335625646793,0.0007304515643602459,1972-03-18
24.1,24.1,24.1,24.6,24.1,24.1,25.2,25.2,24.6,25.2,25.2,25.2,26.2,26.7,27.8,26.7,26.7,27.8,28.4,29.0,30.2,2.7350091962631,0.752397193324833,26.055,1.80481082256927,6.94077251453339e-05,0.000748565853204819,1972-03-19
24.1,24.1,24.1,24.1,24.6,24.1,24.1,25.2,25.2,24.6,25.2,25.2,25.2,26.2,26.7,27.8,26.7,26.7,27.8,28.4,29.0,2.49721097488912,0.652203656794139,25.75,1.56726379064715,0.00541097153431519,0.000558751903463883,1972-03-20
23.6,24.1,24.1,24.1,24.1,24.6,24.1,24.1,25.2,25.2,24.6,25.2,25.2,25.2,26.2,26.7,27.8,26.7,26.7,27.8,28.4,2.25131892429475,0.6902724418855489,25.505,1.40730238399571,0.00254687862621848,0.000671328226124035,1972-03-21
23.6,23.6,24.1,24.1,24.1,24.1,24.6,24.1,24.1,25.2,25.2,24.6,25.2,25.2,25.2,26.2,26.7,27.8,26.7,26.7,27.8,2.08185111110843,0.6900099515469411,25.265,1.292193158121,0.0134154024416743,0.000998420333461647,1972-03-22
23.6,23.6,23.6,24.1,24.1,24.1,24.1,24.6,24.1,24.1,25.2,25.2,24.6,25.2,25.2,25.2,26.2,26.7,27.8,26.7,26.7,2.04518181965266,0.756400084626243,25.055,1.1962551215311399,0.034639669734621,0.000380484031203943,1972-03-23
23.6,23.6,23.6,23.6,24.1,24.1,24.1,24.1,24.6,24.1,24.1,25.2,25.2,24.6,25.2,25.2,25.2,26.2,26.7,27.8,26.7,2.0045546420738,0.9604010688598721,24.9,1.1724917236830499,0.0313138570553228,0.00045406989192830994,1972-03-24
23.6,23.6,23.6,23.6,23.6,24.1,24.1,24.1,24.1,24.6,24.1,24.1,25.2,25.2,24.6,25.2,25.2,25.2,26.2,26.7,27.8,2.27622342198687,1.20717285315267,24.745,1.1259966345654098,-0.0027023567157437303,0.0026383313983237,1972-03-25
23.6,23.6,23.6,23.6,23.6,23.6,24.1,24.1,24.1,24.1,24.6,24.1,24.1,25.2,25.2,24.6,25.2,25.2,25.2,26.2,26.7,2.00019005184121,0.880711937952387,24.535,0.894000470975973,0.00257846720764465,0.0021084299563530803,1972-03-26
23.6,23.6,23.6,23.6,23.6,23.6,23.6,24.1,24.1,24.1,24.1,24.6,24.1,24.1,25.2,25.2,24.6,25.2,25.2,25.2,26.2,1.7173240389251798,0.7250187619151519,24.38,0.7571414385005849,0.00201787591818907,0.0035942935651762705,1972-03-27
24.1,23.6,23.6,23.6,23.6,23.6,23.6,23.6,24.1,24.1,24.1,24.1,24.6,24.1,24.1,25.2,25.2,24.6,25.2,25.2,25.2,1.6636259785306498,0.494102198536645,24.25,0.642773595239289,0.0180616112680143,0.000864370384916491,1972-03-28
24.1,24.1,23.6,23.6,23.6,23.6,23.6,23.6,23.6,24.1,24.1,24.1,24.1,24.6,24.1,24.1,25.2,25.2,24.6,25.2,25.2,1.5607889285404097,0.667940885610745,24.195,0.603040541536671,0.00884517365945178,0.0014025027872179901,1972-03-29
24.1,24.1,24.1,23.6,23.6,23.6,23.6,23.6,23.6,23.6,24.1,24.1,24.1,24.1,24.6,24.1,24.1,25.2,25.2,24.6,25.2,1.3519403292094099,0.842742015906952,24.14,0.554787773553284,0.0129725436297298,0.00348270695360098,1972-03-30
25.2,24.1,24.1,24.1,23.6,23.6,23.6,23.6,23.6,23.6,23.6,24.1,24.1,24.1,24.1,24.6,24.1,24.1,25.2,25.2,24.6,1.27792949238452,0.9971802739039649,24.085,0.495532674582562,0.0289763610181458,0.00185089811763173,1972-03-31
25.2,25.2,24.1,24.1,24.1,23.6,23.6,23.6,23.6,23.6,23.6,23.6,24.1,24.1,24.1,24.1,24.6,24.1,24.1,25.2,25.2,1.5326382422850902,1.00210507826891,24.115,0.544131369586813,-0.0033203003270476897,0.0294908534673159,1972-04-01
26.7,25.2,25.2,24.1,24.1,24.1,23.6,23.6,23.6,23.6,23.6,23.6,23.6,24.1,24.1,24.1,24.1,24.6,24.1,24.1,25.2,1.2131518691735501,1.00210507826891,24.115,0.544131369586813,-0.00130644343937145,0.0294908534673161,1972-04-02
30.2,26.7,25.2,25.2,24.1,24.1,24.1,23.6,23.6,23.6,23.6,23.6,23.6,23.6,24.1,24.1,24.1,24.1,24.6,24.1,24.1,2.144916930967,2.01746907480673,24.19,0.761508198801631,0.00317575888355337,0.0222095964944223,1972-04-03
41.7,30.2,26.7,25.2,25.2,24.1,24.1,24.1,23.6,23.6,23.6,23.6,23.6,23.6,23.6,24.1,24.1,24.1,24.1,24.6,24.1,3.14908231128396,2.8130919256660496,24.495,1.54356900174819,-0.0354398860760962,0.0422145295047198,1972-04-04
51.7,41.7,30.2,26.7,25.2,25.2,24.1,24.1,24.1,23.6,23.6,23.6,23.6,23.6,23.6,23.6,24.1,24.1,24.1,24.1,24.6,4.44932106256477,3.35716663089242,25.375,4.13990528750039,-0.166740214822822,0.105914125244589,1972-04-05
44.0,51.7,41.7,30.2,26.7,25.2,25.2,24.1,24.1,24.1,23.6,23.6,23.6,23.6,23.6,23.6,23.6,24.1,24.1,24.1,24.1,2.58643717354447,2.7082551770540806,26.73,7.1866909155597805,-0.121578825697904,0.0135301935362621,1972-04-06
41.0,44.0,51.7,41.7,30.2,26.7,25.2,25.2,24.1,24.1,24.1,23.6,23.6,23.6,23.6,23.6,23.6,23.6,24.1,24.1,24.1,2.3319399513979397,2.0195369375908703,27.725,8.12033671845279,0.0871254465858417,0.000611019102187638,1972-04-07
35.7,41.0,44.0,51.7,41.7,30.2,26.7,25.2,25.2,24.1,24.1,24.1,23.6,23.6,23.6,23.6,23.6,23.6,23.6,24.1,24.1,2.09496423240549,1.60621751135323,28.57,8.58904442941858,0.14065963114543398,0.00022560779190261603,1972-04-08
